,Course_Group,Mode_Group,pre_q_group,ord_group,Mq_Group,Fq_Group,Mo_Group,Fo_Group,Previous qualification (grade),Admission grade,Displaced,Debtor,Gender,Scholarship holder,Age at enrollment,Marital status,Daytime/evening attendance	,Tuition fees up to date,Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),notpass_1,notpass_2,Target
2217,Mid1,High,1,0.0,Mid,Mid,Mid2,Mid2,129.0,127.6,1,0,1,0,19,1,1,1,5,11.6,3,11.0,0,2,Dropout
2218,Mid2,Low,1,,Mid,Mid,Mid2,Mid2,140.0,140.0,0,0,1,0,25,1,1,1,6,14.666666666666666,6,13.5,0,0,Graduate
2219,Mid2,High,1,0.0,Mid,Mid,Mid2,Mid2,130.0,120.2,1,0,1,0,22,1,1,1,6,14.666666666666666,6,14.666666666666666,0,0,Graduate
2220,High,Low,1,0.0,Mid,Mid,Mid2,Mid2,130.0,150.0,0,0,1,0,24,1,1,1,7,12.742857142857144,7,12.742857142857144,1,1,Graduate
2221,High,High,1,0.0,Mid,Mid,Mid2,Mid2,99.0,100.0,1,0,1,0,19,1,1,1,7,11.975,7,13.12857142857143,0,1,Graduate
2223,Mid1,Mid,1,0.0,High,Mid,Mid2,Mid2,129.0,128.0,0,0,1,0,20,1,1,0,0,0.0,0,0.0,0,0,Dropout
2224,High,High,1,0.0,Mid,Mid,Mid2,Mid2,132.0,128.0,1,0,1,1,19,1,1,1,7,14.935714285714283,7,14.935714285714283,1,1,Graduate
2225,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid2,110.0,107.2,1,0,1,0,19,1,1,1,2,10.5,4,10.0,4,2,Dropout
2226,Mid1,High,1,0.0,Mid,Mid,Mid2,Mid2,116.0,110.1,1,0,1,0,19,1,1,1,5,13.333333333333334,5,13.0,1,1,Graduate
2227,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid2,119.0,119.0,0,1,1,0,23,1,1,1,0,0.0,0,0.0,6,6,Dropout
2228,Mid2,Low,1,0.0,Mid,High,Mid2,Mid2,120.0,155.5,0,0,1,0,47,2,1,1,5,13.8,4,14.0,1,2,Dropout
2229,Mid2,High,1,0.0,Mid,Mid,Mid2,Mid2,117.0,118.4,0,0,1,0,19,1,1,1,6,11.833333333333334,4,10.75,0,2,Graduate
2230,Mid1,High,1,0.0,Mid,High,Mid2,Mid2,137.0,141.2,1,0,1,0,19,1,1,1,0,0.0,0,0.0,0,0,Graduate
2231,Mid1,High,1,0.0,Mid,Mid,Mid1,Mid1,124.0,119.1,1,0,1,0,18,1,1,1,0,0.0,0,0.0,0,0,Dropout
2232,Mid1,Mid,1,0.0,Mid,Mid,Mid1,Mid1,151.0,111.0,0,0,1,0,28,1,1,1,2,10.0,0,0.0,3,5,Dropout
2233,Mid1,Mid,1,1.0,Low,Low,Low,Low,138.6,138.6,1,0,1,0,20,1,1,1,4,11.5,3,11.666666666666666,2,3,Dropout
2235,Mid1,High,1,0.0,Mid,Mid,Mid2,Mid2,136.0,150.4,1,0,1,1,21,1,1,1,0,0.0,0,0.0,0,0,Graduate
2237,Mid1,Low,0,,High,Mid,Mid2,Mid2,133.1,102.5,0,1,1,0,24,1,1,0,0,0.0,0,0.0,6,6,Dropout
2240,Mid1,Low,1,0.0,Mid,Mid,Mid2,Mid1,150.0,122.3,0,0,1,0,28,1,1,1,6,13.0,5,12.2,0,1,Graduate
2243,High,Mid,1,0.0,High,Mid,Mid2,Mid2,133.0,126.4,1,0,1,1,18,1,1,1,7,13.462857142857144,8,13.90625,0,0,Graduate
2244,Mid1,Low,0,,Mid,Mid,Low,Low,133.1,100.0,0,0,1,0,48,1,1,1,3,10.0,1,10.0,3,5,Dropout
2245,High,Mid,1,0.0,Mid,Mid,Mid2,Mid2,129.0,117.1,1,0,1,0,21,1,1,1,6,12.333333333333334,6,13.666666666666666,0,0,Graduate
2248,Low,Mid,1,0.0,Mid,Mid,Mid2,Mid2,130.0,129.4,1,1,1,0,23,1,1,0,0,0.0,0,0.0,5,5,Dropout
2249,Low,High,1,0.0,Mid,Mid,Mid2,Mid2,141.0,138.9,1,0,1,0,18,1,1,1,5,13.6,4,13.25,0,1,Graduate
2250,High,Mid,1,,Mid,Mid,Mid2,Mid2,140.0,138.6,0,0,1,0,22,1,1,1,6,12.333333333333334,2,14.0,0,4,Dropout
2251,Mid1,High,1,0.0,Mid,Mid,Mid2,Mid2,122.0,133.9,1,0,1,0,25,1,1,1,10,11.454545454545457,7,12.25,3,4,Dropout
2252,Mid2,Low,1,,Mid,Mid,Mid1,Mid1,140.0,140.0,0,1,1,0,27,1,1,1,8,13.5,5,14.4,5,6,Dropout
2253,Low,Low,0,,Low,Low,Low,Low,133.1,95.1,0,0,1,0,49,1,1,0,0,0.0,0,0.0,5,5,Dropout
2254,Low,Low,1,0.0,Mid,Mid,Mid2,Mid2,120.0,128.2,0,0,1,0,31,1,0,0,2,11.0,0,0.0,3,5,Dropout
2255,Mid1,Low,1,0.0,Mid,Mid,Mid2,Mid2,133.1,121.5,0,0,1,0,54,1,1,1,6,13.714285714285714,5,14.333333333333334,0,1,Dropout
2256,Low,Low,1,,High,Mid,Mid2,Mid2,120.0,120.0,1,1,1,0,25,1,1,0,21,12.363636363636363,12,12.25,0,4,Dropout
2258,Mid2,Low,0,1.0,High,Mid,Mid1,Mid1,120.0,120.0,0,0,1,0,28,1,1,1,2,12.0,3,12.666666666666666,4,3,Dropout
2259,Mid2,Low,0,,Mid,Mid,Mid2,Mid2,133.1,107.0,0,0,1,0,41,2,0,1,7,12.857142857142858,6,13.166666666666666,0,0,Graduate
2261,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid1,123.0,114.4,0,0,1,0,22,1,1,1,0,0.0,2,11.5,5,3,Dropout
2262,Mid1,High,1,0.0,Mid,Mid,Mid1,Mid2,178.0,157.7,0,0,1,0,34,1,1,1,2,13.5,0,0.0,4,6,Dropout
2263,Mid1,Low,1,0.0,High,High,Mid2,Mid2,130.0,150.0,0,1,1,0,28,1,1,0,11,15.090909090909092,10,15.0,0,0,Dropout
2266,Mid1,Low,0,1.0,Low,Low,Mid2,Mid1,140.0,140.0,0,0,1,0,50,1,1,1,2,13.5,1,13.0,4,5,Dropout
2267,Mid1,High,1,0.0,Mid,Mid,Mid2,Mid1,108.0,109.1,1,0,1,0,19,1,1,1,0,0.0,0,0.0,5,5,Dropout
2268,High,Mid,1,0.0,Mid,Mid,Mid1,Mid1,120.0,120.6,0,0,1,0,18,1,1,1,4,12.65,3,10.666666666666666,3,4,Dropout
2269,Low,Low,1,0.0,Mid,Mid,Mid1,Mid1,100.0,161.9,0,0,1,0,59,2,0,1,0,0.0,0,0.0,5,5,Dropout
2270,Low,Low,0,1.0,Low,Low,Low,Low,140.0,140.0,1,0,1,0,33,2,0,0,0,0.0,0,0.0,5,5,Dropout
2271,Mid2,Mid,1,0.0,Mid,High,Mid2,Mid2,133.1,178.0,1,0,1,1,23,1,1,1,6,13.333333333333334,5,12.8,0,1,Graduate
2272,Low,Low,0,,Mid,Mid,Mid2,Mid2,133.1,138.3,0,0,1,0,44,2,0,1,3,11.333333333333334,5,11.142857142857142,2,0,Dropout
2273,Mid2,High,1,0.0,Low,Low,Low,Low,140.0,128.0,1,0,1,0,37,2,0,1,0,0.0,0,0.0,6,6,Dropout
2274,Mid1,Low,0,,Mid,Mid,Mid2,Mid2,100.0,139.0,0,0,1,0,36,2,1,1,0,0.0,0,0.0,0,0,Dropout
2275,Low,High,1,0.0,Mid,Mid,Mid2,Mid1,123.0,113.2,0,0,1,0,22,1,0,0,3,11.666666666666666,2,10.5,2,3,Dropout
2276,Mid2,Low,0,,Mid,Mid,Mid2,Mid2,133.1,139.0,0,0,1,0,49,2,0,1,6,12.166666666666666,6,14.428571428571429,0,0,Graduate
2277,Mid2,Mid,1,0.0,Mid,High,Mid2,Mid2,135.0,110.0,1,0,1,0,23,1,1,1,6,13.333333333333334,4,12.75,0,2,Graduate
2279,Mid2,Mid,1,0.0,Mid,Mid,Mid2,Mid2,120.0,161.1,0,0,1,0,47,2,0,1,6,12.142857142857142,0,0.0,0,6,Dropout
2280,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid1,130.0,130.0,0,0,1,0,28,1,1,1,17,13.058823529411764,12,12.307692307692308,1,0,Graduate
2282,Mid1,High,1,0.0,High,Mid,Mid2,Mid2,133.1,121.0,0,1,1,0,21,1,1,0,5,11.833333333333334,5,10.0,1,1,Dropout
2283,High,Mid,1,,Mid,Mid,Mid1,Mid1,120.0,118.6,0,0,1,0,21,1,1,1,10,12.4,10,11.8,1,0,Graduate
2285,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid2,133.1,115.8,0,0,1,0,49,2,1,0,0,0.0,0,0.0,5,5,Dropout
2286,Low,Low,1,0.0,Mid,Mid,Mid2,Mid2,120.0,160.0,0,0,1,0,40,1,0,1,5,11.0,5,13.4,0,0,Graduate
2287,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid2,125.0,114.5,0,0,1,1,22,1,1,1,6,13.625,6,14.428571428571429,0,0,Graduate
2289,Low,Low,1,0.0,Mid,High,Mid1,Mid2,133.1,121.7,0,0,1,0,31,1,0,1,0,0.0,0,0.0,5,5,Dropout
2290,Low,Mid,1,0.0,Mid,Low,Mid1,Mid1,120.0,115.0,0,0,1,0,30,1,1,1,2,15.0,2,13.5,4,4,Dropout
2291,High,High,1,0.0,Mid,Mid,Mid2,Mid2,127.0,125.3,0,0,1,0,19,1,1,1,5,10.8,5,11.0,1,1,Graduate
2292,Mid1,Mid,1,0.0,Low,Low,Low,Low,131.0,131.0,0,0,1,0,22,1,1,1,3,13.666666666666666,3,11.333333333333334,2,2,Dropout
2293,Mid2,High,1,0.0,Mid,Mid,Mid2,Mid2,127.0,126.3,0,0,1,0,19,1,1,1,6,12.833333333333334,6,13.333333333333334,0,0,Graduate
2294,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid2,132.0,127.1,0,0,1,0,21,1,1,0,0,0.0,0,0.0,0,0,Dropout
2295,Mid1,Mid,1,0.0,Mid,High,Mid2,Mid2,137.0,138.4,0,0,1,0,19,1,1,1,6,15.125,6,13.428571428571429,0,0,Graduate
2296,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid2,126.0,100.0,1,0,1,0,22,1,1,1,0,0.0,1,10.0,5,4,Dropout
2297,High,High,1,0.0,High,Low,Mid1,Mid1,136.0,126.2,0,0,1,0,22,1,1,1,5,11.4,5,11.0,1,1,Graduate
2298,High,High,1,0.0,Mid,Mid,Mid2,Mid1,124.0,118.8,0,0,1,0,19,1,1,1,4,12.25,6,11.0,2,0,Graduate
2299,Mid1,Low,1,,Mid,Mid,Mid2,Mid2,137.0,124.5,0,0,1,0,26,1,1,0,0,0.0,0,0.0,6,6,Dropout
2304,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid2,133.1,95.0,0,0,1,0,20,1,1,1,0,0.0,0,0.0,5,5,Dropout
2306,Low,Low,0,1.0,Mid,High,Mid1,Mid2,140.0,140.0,1,0,1,0,18,1,1,0,2,13.0,0,0.0,3,5,Dropout
2307,Low,Mid,0,,Mid,Mid,Mid1,Mid2,133.1,125.4,0,0,1,0,39,4,0,1,0,0.0,0,0.0,2,4,Dropout
2308,High,High,1,0.0,Mid,Mid,Low,Low,141.0,128.0,0,0,1,0,18,1,1,1,0,0.0,0,0.0,8,8,Dropout
2309,Low,Mid,1,0.0,Mid,High,Mid2,Mid2,130.0,129.3,0,0,1,1,18,1,1,1,5,13.0,5,14.2,0,0,Graduate
2310,High,High,1,0.0,Mid,High,Mid2,Mid2,160.0,152.0,0,0,1,1,19,1,1,1,6,13.857142857142858,6,14.0,0,0,Graduate
2311,High,High,1,0.0,Mid,Mid,Mid2,Mid2,140.0,128.8,0,0,1,0,18,1,1,1,6,13.391666666666666,8,12.4875,1,0,Graduate
2312,Mid1,High,1,0.0,Low,Mid,Low,Mid1,150.0,152.8,1,0,1,1,18,1,1,1,4,12.75,0,0.0,1,5,Dropout
2313,Low,Mid,1,,Mid,Mid,Mid2,Mid2,150.0,150.0,1,0,1,0,22,1,1,1,4,14.5,5,14.6,1,0,Graduate
2314,High,High,1,0.0,Mid,Mid,Mid2,Mid1,133.1,112.0,0,0,1,0,19,1,1,1,6,12.166666666666666,6,12.166666666666666,0,0,Graduate
2315,Low,High,1,0.0,Mid,Mid,Mid2,Mid2,152.0,135.6,1,0,1,0,18,1,1,1,5,15.4,5,15.6,0,0,Dropout
2316,Low,Low,0,,Mid,Mid,Mid2,Mid2,133.1,134.4,0,1,1,0,31,1,1,0,2,13.333333333333334,2,16.0,3,3,Dropout
2317,Low,Low,1,0.0,Mid,Mid,Mid2,Mid2,130.0,120.5,0,0,1,0,28,1,0,1,0,0.0,0,0.0,5,5,Dropout
2318,Mid2,High,1,0.0,Mid,Mid,Mid2,Mid2,148.0,141.4,0,0,1,0,19,1,1,1,0,0.0,0,0.0,6,6,Dropout
2319,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid2,148.0,145.2,0,0,1,0,20,1,1,1,6,13.714285714285714,6,14.714285714285714,0,0,Graduate
2320,High,Low,1,0.0,Mid,Mid,Mid2,Mid1,130.0,140.0,0,0,1,0,50,4,1,1,4,12.25,0,0.0,2,6,Dropout
2322,Low,Low,1,0.0,Mid,Mid,Mid2,Mid2,130.0,140.0,1,0,1,0,31,2,0,1,1,11.0,1,13.0,4,4,Dropout
2324,High,Mid,1,0.0,Mid,Mid,Mid2,Mid1,122.0,112.6,1,0,1,0,21,1,1,1,6,10.166666666666666,6,10.5,0,0,Graduate
2325,Low,Low,1,0.0,Mid,Mid,Mid2,Mid2,110.0,106.8,0,0,1,0,34,2,1,1,1,10.0,0,0.0,4,5,Dropout
2327,Low,Low,1,0.0,Mid,Mid,Mid1,Mid1,110.0,120.0,1,0,1,0,40,2,0,0,2,10.5,3,10.666666666666666,3,2,Dropout
2328,Mid1,High,1,0.0,High,Mid,Mid2,Mid1,170.0,160.6,1,0,1,1,18,1,1,1,0,0.0,0,0.0,0,0,Graduate
2329,Mid2,Low,0,,Mid,High,Mid2,Mid2,110.0,130.0,0,1,1,1,46,2,1,0,0,0.0,0,0.0,6,6,Dropout
2330,Mid2,Mid,1,0.0,Low,Low,Low,Low,110.0,110.0,0,0,1,0,37,1,0,1,0,0.0,0,0.0,6,5,Dropout
2331,Mid1,Low,1,0.0,Mid,Mid,Mid2,Mid2,133.1,110.0,1,0,1,0,31,1,1,1,0,0.0,0,0.0,6,6,Dropout
2332,Mid1,Low,1,0.0,Mid,Mid,Mid2,Mid2,133.1,145.8,0,0,1,0,34,1,1,1,5,13.333333333333334,5,12.4,1,1,Graduate
2333,Mid1,High,1,0.0,Low,Low,Mid2,Mid1,126.0,130.2,1,0,1,1,18,1,1,1,0,0.0,0,0.0,0,0,Dropout
2334,Mid1,High,1,0.0,High,Mid,Mid2,Mid2,137.0,122.3,0,0,1,1,18,1,1,1,6,13.571428571428571,6,14.333333333333334,0,0,Graduate
2335,Mid2,Mid,1,0.0,Mid,Mid,Mid2,Mid2,117.0,125.4,1,0,1,1,19,1,1,1,6,12.833333333333334,6,11.166666666666666,0,0,Graduate
2336,Low,Mid,1,0.0,Mid,Mid,Mid2,Mid1,100.0,130.0,0,0,1,0,40,1,0,1,4,10.25,5,11.2,1,3,Dropout
2337,Low,Low,1,0.0,Mid,High,Mid2,Mid2,120.0,150.0,0,0,1,0,25,1,1,1,0,0.0,0,0.0,6,6,Dropout
2338,Low,Mid,1,0.0,High,High,Mid2,Mid2,126.0,116.9,1,1,1,0,20,1,1,1,4,14.5,3,13.333333333333334,1,3,Dropout
2340,Mid1,Low,1,0.0,Mid,Mid,Mid2,Mid2,111.0,95.8,1,0,1,0,43,1,1,0,0,0.0,0,0.0,6,6,Dropout
2342,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid1,150.0,150.0,0,0,1,0,35,1,1,1,18,11.666666666666666,12,11.5,0,1,Graduate
2343,Low,Mid,1,0.0,Mid,Mid,Mid2,Mid1,116.0,118.5,0,0,1,0,23,1,0,1,4,13.0,5,13.0,1,0,Graduate
2344,High,Mid,1,0.0,Mid,Mid,Mid1,Mid1,130.0,131.1,0,0,1,0,19,1,1,1,7,12.12142857142857,8,11.50625,0,1,Graduate
2345,Mid2,High,1,,Mid,Mid,Mid2,Mid2,150.0,150.3,1,0,1,1,21,1,1,1,9,14.22222222222222,7,13.75,2,2,Graduate
2347,Low,Mid,1,0.0,Mid,Mid,Mid2,Mid2,108.0,105.6,1,0,1,0,20,1,1,1,5,12.166666666666666,5,15.285714285714286,0,0,Graduate
2348,Mid1,Low,1,0.0,Mid,Mid,Mid2,Mid2,133.1,125.3,0,0,1,1,30,1,1,1,0,0.0,0,0.0,6,6,Dropout
2349,Mid1,Low,1,0.0,Mid,Mid,Mid2,Mid2,120.0,131.0,1,0,1,0,44,4,1,1,6,12.666666666666666,6,11.5,0,0,Graduate
2350,High,Mid,1,0.0,Mid,Mid,Mid2,Mid2,146.0,127.0,0,0,1,0,19,1,1,1,7,13.614285714285714,7,13.614285714285714,1,1,Graduate
2351,Low,Mid,1,,Mid,Mid,Mid2,Mid2,150.0,150.0,1,0,1,0,22,1,1,1,12,12.857142857142858,10,14.3,6,2,Graduate
2352,Low,High,1,0.0,Mid,Mid,Mid1,Mid1,160.0,149.2,0,0,1,0,18,1,1,1,4,14.0,5,14.2,1,0,Graduate
2353,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid2,125.0,121.5,1,0,1,1,21,1,1,1,4,14.75,5,11.8,2,1,Graduate
2354,Mid2,High,1,0.0,Mid,Mid,Low,Low,125.0,137.3,0,0,1,0,18,1,1,1,0,0.0,0,0.0,6,6,Dropout
2355,Mid1,Mid,1,0.0,Mid,Mid,Mid1,Mid2,122.0,119.6,1,0,1,0,18,1,1,1,6,13.625,6,14.285714285714286,0,0,Graduate
2356,Mid1,High,1,0.0,Mid,Mid,Mid2,Mid2,138.0,141.5,0,0,1,0,19,1,1,1,0,0.0,0,0.0,0,0,Graduate
2357,Mid1,Mid,1,,Mid,High,Mid2,Mid2,150.0,150.0,1,0,1,0,21,1,1,1,4,11.8,4,11.875,2,2,Dropout
2358,Mid1,Low,1,0.0,Mid,Mid,Mid1,Mid1,140.0,110.0,0,0,1,0,31,1,1,1,6,15.125,6,14.6,0,0,Graduate
2359,Mid1,Mid,1,0.0,Mid,Mid,Mid1,Mid2,113.0,110.2,1,0,1,0,21,1,1,1,4,11.5,2,10.5,2,4,Dropout
2361,Mid2,Mid,1,0.0,Mid,Low,Mid2,Mid2,133.1,120.0,0,0,1,0,27,1,1,1,0,0.0,0,0.0,4,5,Dropout
2362,Mid1,High,1,0.0,Mid,Mid,Mid2,Mid2,118.0,114.2,1,0,1,0,20,1,1,1,3,10.333333333333334,5,12.8,2,0,Graduate
2365,Mid2,Mid,1,0.0,Mid,Mid,Mid2,Mid2,125.0,121.5,1,0,1,0,19,1,1,1,6,13.833333333333334,6,14.5,0,0,Graduate
2367,Low,Mid,1,0.0,Low,Mid,Mid1,Mid2,131.0,128.2,1,0,1,0,18,1,1,1,6,14.0,6,13.666666666666666,0,0,Graduate
2369,Low,Low,1,0.0,Mid,Mid,Mid2,Mid2,133.1,120.0,1,0,1,0,29,1,1,1,1,18.0,3,13.333333333333334,4,2,Dropout
2371,Mid1,High,1,0.0,Mid,Mid,Mid2,Mid1,139.0,136.9,1,0,1,1,19,1,1,1,0,0.0,0,0.0,0,0,Graduate
2375,Mid1,High,1,0.0,Mid,Mid,Mid2,Mid2,95.0,95.0,0,0,1,0,21,1,1,0,4,13.25,5,11.0,2,1,Dropout
2376,Mid1,Low,1,0.0,Mid,Mid,Mid2,Mid2,150.0,148.8,0,0,1,1,25,1,1,1,4,14.25,4,14.75,1,1,Graduate
2377,Mid1,Low,1,0.0,Mid,Mid,Mid2,Mid2,120.0,110.0,0,0,1,0,32,1,1,0,0,0.0,0,0.0,5,5,Dropout
2378,Low,Mid,1,0.0,Mid,Mid,Mid1,Mid1,136.0,133.9,0,0,1,0,26,1,0,0,8,11.25,3,11.333333333333334,4,5,Dropout
2379,Low,High,1,0.0,Mid,Mid,Mid2,Mid2,133.0,125.7,1,0,1,1,18,1,1,1,6,13.5,6,12.5,0,0,Graduate
2380,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid2,125.0,116.6,0,0,1,1,19,1,1,1,5,12.666666666666666,6,12.857142857142858,1,0,Graduate
2381,Mid2,High,1,0.0,Mid,High,Mid2,Mid2,127.0,141.0,1,0,1,1,19,1,1,1,6,15.166666666666666,6,12.333333333333334,0,0,Graduate
2382,Low,Low,1,,Mid,Mid,Mid2,Mid1,130.0,130.0,0,0,1,0,27,1,1,1,6,13.166666666666666,5,15.142857142857142,0,0,Dropout
2385,Mid2,Mid,1,,Mid,High,Mid2,Low,140.0,140.0,1,0,1,0,21,1,1,1,6,14.5,6,11.333333333333334,0,0,Graduate
2387,Mid1,High,1,0.0,Mid,High,Mid2,Mid2,135.0,137.5,1,1,1,0,19,1,1,0,0,0.0,0,0.0,0,0,Graduate
2388,Mid1,Mid,1,0.0,High,Mid,Mid2,Mid2,132.0,120.8,1,0,1,1,18,1,1,1,4,10.8,2,12.5,1,3,Dropout
2389,High,Low,1,0.0,Mid,Mid,Mid2,Mid2,110.0,136.5,0,0,1,0,28,1,1,1,0,0.0,0,0.0,5,5,Dropout
2390,Mid1,Low,1,0.0,Mid,Mid,Mid2,Mid1,130.0,122.0,0,1,1,0,25,2,1,0,6,11.428571428571429,4,12.0,4,3,Dropout
2391,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid1,130.0,130.0,0,0,1,0,25,1,1,1,8,12.5,10,11.6,6,3,Dropout
2393,Mid1,High,1,0.0,High,Mid,Mid2,Mid2,133.1,98.0,0,0,1,0,26,1,1,1,0,0.0,0,0.0,6,6,Dropout
2394,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid2,135.0,121.0,1,0,1,1,18,1,1,1,5,12.75,5,11.5,0,0,Graduate
2396,Mid1,Low,1,0.0,Mid,Mid,Mid2,Mid2,140.0,130.0,0,0,1,0,25,1,1,1,0,0.0,0,0.0,6,6,Dropout
2398,Mid2,Mid,1,0.0,Mid,Mid,Mid1,Mid2,131.0,132.8,1,0,1,0,19,1,1,1,6,14.428571428571429,6,14.571428571428571,0,0,Graduate
2399,High,Mid,1,0.0,Mid,Mid,Mid2,Mid2,131.0,126.3,0,0,1,0,19,1,1,1,7,12.492857142857144,8,11.7125,0,0,Graduate
2400,Mid2,Low,0,,Mid,Mid,Mid2,Mid1,100.0,111.5,0,0,1,0,45,4,0,1,4,11.5,4,11.0,4,4,Dropout
2401,Low,Low,1,0.0,Mid,Mid,Mid2,Mid2,140.0,118.2,0,0,1,0,52,2,0,1,5,11.2,5,12.8,0,0,Graduate
2402,Mid1,High,1,0.0,Mid,Mid,Mid2,Mid2,124.0,115.6,1,0,1,0,20,1,1,0,3,12.0,3,11.0,2,2,Dropout
2403,High,High,1,0.0,High,Mid,Mid2,Mid2,130.0,117.8,1,0,1,0,19,1,1,1,7,15.885714285714286,7,15.885714285714286,1,1,Graduate
2404,High,High,1,0.0,Mid,High,Mid2,Mid2,142.0,127.0,0,1,1,0,21,1,1,0,4,12.94,4,11.58,3,3,Dropout
2405,Mid2,Low,1,0.0,Mid,Mid,Mid2,Mid2,150.0,140.0,0,0,1,0,35,2,0,0,6,14.0,6,14.166666666666666,0,0,Graduate
2406,Mid1,Low,0,,Mid,Mid,Mid2,Mid2,110.0,106.0,1,0,1,0,36,2,1,1,0,0.0,0,0.0,0,0,Graduate
2407,High,Low,0,,Mid,High,Mid2,Mid2,110.0,151.0,0,1,1,0,47,4,1,0,0,0.0,0,0.0,7,8,Dropout
2408,Low,Mid,1,0.0,Mid,Low,Mid1,Mid1,112.0,106.4,0,0,1,0,22,1,0,1,0,0.0,0,0.0,5,5,Dropout
2409,Low,Low,1,0.0,Mid,Mid,Mid2,Mid2,100.0,125.3,1,0,1,0,41,2,0,1,4,11.25,3,11.0,1,2,Dropout
2410,Low,Low,0,1.0,Low,Low,Low,Low,130.0,130.0,0,0,1,0,26,1,1,1,0,0.0,0,0.0,5,5,Dropout
2411,Mid2,Low,1,0.0,Low,Low,Low,Low,133.1,116.0,0,0,0,0,51,2,0,0,4,11.25,0,0.0,2,6,Dropout
2413,Mid2,Low,1,0.0,Low,Low,Low,Low,100.0,100.0,1,0,0,0,41,2,0,1,5,11.8,3,10.666666666666666,1,3,Graduate
2414,Mid1,Mid,1,0.0,Low,Mid,Mid2,Mid2,130.0,118.5,1,0,1,0,23,1,1,1,8,11.625,10,11.181818181818182,2,0,Graduate
2415,High,Mid,1,0.0,Low,Mid,Low,Mid2,129.0,118.9,1,0,1,0,22,1,1,1,0,0.0,0,0.0,6,5,Dropout
2416,Mid2,Mid,1,0.0,Mid,Mid,Mid2,Mid2,127.0,119.3,1,0,1,1,25,1,1,1,4,10.25,4,11.25,2,2,Dropout
2417,Low,Mid,1,0.0,Mid,Mid,Mid2,Mid2,140.0,135.8,1,0,1,0,25,1,0,1,15,10.8,14,11.357142857142858,0,0,Graduate
2418,Mid1,High,1,,Mid,Mid,Mid2,Mid2,130.0,130.0,1,0,1,1,22,1,1,0,11,12.545454545454543,11,12.666666666666666,1,0,Graduate
2420,Mid2,Low,0,1.0,High,High,Mid2,Mid2,140.0,150.0,0,0,1,0,47,1,1,1,0,0.0,0,0.0,6,6,Dropout
2421,Low,Low,0,,Mid,Mid,Mid2,Mid2,133.1,111.9,1,0,1,0,41,2,0,1,0,0.0,0,0.0,5,5,Dropout
2422,Mid1,Low,1,0.0,Mid,Mid,Mid2,Mid2,120.0,150.1,1,0,1,0,43,1,1,1,6,14.77777777777778,5,12.2,0,1,Graduate
2423,Mid1,Low,1,0.0,Mid,Mid,Mid2,Mid2,133.1,130.0,0,0,1,0,29,1,1,1,0,0.0,0,0.0,3,4,Dropout
2424,Low,Low,1,0.0,Mid,Mid,Mid2,Mid2,120.0,128.0,0,0,1,0,30,1,1,1,0,0.0,0,0.0,2,2,Dropout
2425,Mid1,Low,0,,Mid,High,Mid2,Mid2,133.1,102.5,0,0,1,0,26,1,1,0,0,0.0,0,0.0,4,5,Dropout
2426,Low,Low,1,0.0,Mid,High,Mid2,Mid2,133.1,102.5,0,0,1,0,27,1,0,0,0,0.0,0,0.0,5,5,Dropout
2427,Mid1,Low,1,0.0,Mid,Mid,Mid2,Mid2,100.0,110.0,0,0,1,1,36,2,1,1,5,11.4,5,11.6,0,0,Graduate
2428,Mid1,Low,0,,Mid,Mid,Mid2,Mid2,133.1,114.0,0,0,1,0,29,1,1,1,6,11.666666666666666,6,10.857142857142858,3,1,Dropout
2429,Low,Mid,1,0.0,Low,Low,Low,Low,120.0,128.2,1,0,1,0,35,1,1,1,7,11.285714285714286,5,13.0,3,3,Dropout
2430,Mid2,High,1,0.0,High,High,Mid2,Mid2,128.0,116.5,0,0,1,1,18,1,1,1,4,11.5,5,12.6,2,1,Graduate
2431,Low,High,1,0.0,High,Mid,Mid2,Mid2,172.0,149.3,0,0,1,1,24,1,0,1,5,16.0,5,16.0,0,0,Graduate
2432,Mid2,High,1,0.0,High,High,Mid2,Mid2,146.0,134.1,1,0,1,1,18,1,1,1,6,12.5,6,12.666666666666666,0,0,Dropout
2435,Low,Mid,1,0.0,High,Mid,Mid2,Mid2,150.0,133.5,1,0,1,0,21,1,1,1,5,13.0,5,12.6,0,0,Graduate
